test,type,imgA,imgB,width,height,pixels,result,time_sec,time_ctu,pixreads,pixwrites,lutreads,lutwrites,pixvalidations,stackops,queueops,peakstack,peakqueue,peakrecdepth
ImageIsEqual,self,palete96x192,palete96x192,96,192,18432,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete96x192,copy,96,192,18432,1,0.000015,0.000008,36864,0,36864,0,18432,0,0,0,0,0
ImageIsEqual,rotated,palete96x192,rot180,96,192,18432,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete96x192,bigger,96,192,18432,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,chess128x256,chess128x256,128,256,32768,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess128x256,copy,128,256,32768,1,0.000024,0.000013,65536,0,65536,0,32768,0,0,0,0,0
ImageIsEqual,rotated,chess128x256,rot180,128,256,32768,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,chess128x256,bigger,128,256,32768,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,palete128x256,palete128x256,128,256,32768,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete128x256,copy,128,256,32768,1,0.000024,0.000013,65536,0,65536,0,32768,0,0,0,0,0
ImageIsEqual,rotated,palete128x256,rot180,128,256,32768,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete128x256,bigger,128,256,32768,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,chess192x256,chess192x256,192,256,49152,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess192x256,copy,192,256,49152,1,0.000038,0.000021,98304,0,98304,0,49152,0,0,0,0,0
ImageIsEqual,rotated,chess192x256,rot180,192,256,49152,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,chess192x256,bigger,192,256,49152,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,palete192x256,palete192x256,192,256,49152,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete192x256,copy,192,256,49152,1,0.000035,0.000019,98304,0,98304,0,49152,0,0,0,0,0
ImageIsEqual,rotated,palete192x256,rot180,192,256,49152,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete192x256,bigger,192,256,49152,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,chess256x512,chess256x512,256,512,131072,1,0.000001,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess256x512,copy,256,512,131072,1,0.000105,0.000059,262144,0,262144,0,131072,0,0,0,0,0
ImageIsEqual,rotated,chess256x512,rot180,256,512,131072,0,0.000001,0.000000,14,0,14,0,7,0,0,0,0,0
ImageIsEqual,size_diff,chess256x512,bigger,256,512,131072,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,palete256x512,palete256x512,256,512,131072,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete256x512,copy,256,512,131072,1,0.000112,0.000063,262144,0,262144,0,131072,0,0,0,0,0
ImageIsEqual,rotated,palete256x512,rot180,256,512,131072,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete256x512,bigger,256,512,131072,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,maze41x41,maze41x41,41,41,1681,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,maze41x41,copy,41,41,1681,1,0.000002,0.000001,3362,0,3362,0,1681,0,0,0,0,0
ImageIsEqual,rotated,maze41x41,rot180,41,41,1681,0,0.000000,0.000000,104,0,104,0,52,0,0,0,0,0
ImageIsEqual,size_diff,maze41x41,bigger,41,41,1681,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
